Date,Open,High,Low,Close,Volume,Adj Close
2013-11-25,521.02,525.87,521.00,523.74,8189700,523.74
2013-11-22,519.52,522.16,518.53,519.80,7990200,519.80
2013-11-21,517.60,521.21,513.67,521.14,9358100,521.14
2013-11-20,519.23,520.42,514.33,515.00,6925600,515.00
2013-11-19,519.03,523.38,517.97,519.55,7462100,519.55
2013-11-18,524.99,527.19,518.20,518.63,8748000,518.63
2013-11-15,526.58,529.09,524.49,524.99,11354300,524.99
2013-11-14,522.81,529.28,521.87,528.16,10086400,528.16
2013-11-13,518.00,522.25,516.96,520.63,7043600,520.63
2013-11-12,517.67,523.92,517.00,520.01,7295600,520.01
2013-11-11,519.99,521.67,514.41,519.05,8123300,519.05
2013-11-08,514.58,521.13,512.59,520.56,9975600,520.56
2013-11-07,519.58,523.19,512.38,512.49,9379300,512.49
2013-11-06,524.15,524.86,518.20,520.92,7977700,520.92
2013-11-05,524.58,528.89,523.00,525.45,9471900,522.40
2013-11-04,521.10,526.82,518.81,526.75,8736700,523.69
2013-11-01,524.02,524.80,515.84,520.03,9817500,517.01
2013-10-31,525.00,527.49,521.27,522.70,9846300,519.67
2013-10-30,519.61,527.52,517.02,524.90,12648700,521.85
2013-10-29,536.27,539.25,514.54,516.68,22707400,513.68
2013-10-28,529.04,531.00,523.21,529.88,19658600,526.80
2013-10-25,531.32,533.23,525.11,525.96,12064000,522.91
2013-10-24,525.00,532.47,522.45,531.91,13741600,528.82
2013-10-23,519.00,525.67,519.00,524.96,11204400,521.91
2013-10-22,526.41,528.45,508.03,519.87,19073700,516.85
2013-10-21,511.77,524.30,511.52,521.36,14218100,518.33
2013-10-18,505.99,509.26,505.71,508.89,10376500,505.94
2013-10-17,499.98,504.78,499.68,504.50,9056900,501.57
2013-10-16,500.79,502.53,499.23,501.11,8967900,498.20
2013-10-15,497.51,502.00,495.52,498.68,11431200,495.79
2013-10-14,489.83,497.58,489.35,496.04,9353500,493.16
2013-10-11,486.99,493.84,485.16,492.81,9562100,489.95
2013-10-10,491.32,492.38,487.04,489.64,9950100,486.80
2013-10-09,484.64,487.79,478.28,486.59,10775900,483.77
2013-10-08,489.94,490.64,480.54,480.94,10389900,478.15
2013-10-07,486.56,492.65,485.35,487.75,11153300,484.92
2013-10-04,483.86,484.60,478.60,483.03,9245300,480.23
2013-10-03,490.51,492.35,480.74,483.41,11526900,480.60
2013-10-02,485.63,491.80,483.75,489.56,10328000,486.72
2013-10-01,478.45,489.14,478.38,487.96,12638700,485.13
2013-09-30,477.25,481.66,474.41,476.75,9291300,473.98
2013-09-27,483.78,484.67,480.72,482.75,8144300,479.95
2013-09-26,486.00,488.56,483.90,486.22,8472200,483.40
