Date,Open,High,Low,Close,Volume,Adj Close
2013-11-25,37.75,37.87,37.39,37.55,21111100,37.55
2013-11-22,38.20,38.50,37.58,37.63,26771300,37.63
2013-11-21,38.85,39.00,38.04,38.12,33903900,38.12
2013-11-20,38.11,38.71,37.60,37.69,16898700,37.69
2013-11-19,38.57,38.74,37.89,38.01,19781300,38.01
2013-11-18,38.81,39.18,38.53,38.57,16695000,38.57
2013-11-15,38.51,39.08,38.20,38.77,21691400,38.77
2013-11-14,38.70,38.80,38.15,38.50,28491100,38.50
2013-11-13,36.50,38.53,36.48,38.44,43839500,38.44
2013-11-12,36.67,36.80,36.37,36.66,14363600,36.66
2013-11-11,36.68,37.09,36.50,36.68,13666500,36.68
2013-11-08,36.15,36.77,36.01,36.66,18203100,36.66
2013-11-07,36.61,36.75,35.91,35.92,19893700,35.92
2013-11-06,37.24,37.40,36.57,36.59,16162300,36.59
2013-11-05,37.28,37.51,37.07,37.09,15197700,37.09
2013-11-04,37.50,37.80,37.41,37.47,18005200,37.47
2013-11-01,37.17,38.21,37.05,37.39,30765400,37.39
2013-10-31,37.18,37.99,36.95,36.95,28102800,36.95
2013-10-30,37.20,37.55,36.78,37.23,42114100,37.23
2013-10-29,35.82,36.18,35.51,36.06,24033700,36.06
2013-10-28,35.44,35.97,35.43,35.80,12985100,35.80
2013-10-25,35.67,35.77,35.32,35.59,12849100,35.59
2013-10-24,35.49,36.03,35.10,35.63,19287000,35.63
2013-10-23,35.38,35.39,34.53,35.05,17307600,35.05
2013-10-22,35.62,36.13,35.37,35.41,17008200,35.41
2013-10-21,36.26,36.27,35.34,35.50,13451700,35.50
2013-10-18,36.21,36.30,35.68,35.89,14638500,35.89
2013-10-17,35.16,35.79,34.96,35.66,12602900,35.66
2013-10-16,35.02,35.21,34.78,35.13,15529600,35.13
2013-10-15,35.28,35.38,34.51,34.70,13708400,34.70
2013-10-14,34.83,35.45,34.81,35.33,11193400,35.33
2013-10-11,34.79,35.52,34.66,35.35,15406700,35.35
2013-10-10,34.74,34.89,34.61,34.85,18041900,34.85
2013-10-09,34.33,34.39,33.92,34.16,21109900,34.16
2013-10-08,35.25,35.27,34.17,34.21,23658400,34.21
2013-10-07,35.23,35.52,35.02,35.18,12181000,35.18
2013-10-04,35.44,35.80,35.13,35.70,13811100,35.70
2013-10-03,35.76,35.94,35.13,35.29,15001200,35.29
2013-10-02,35.74,36.00,35.23,35.94,19459700,35.94
2013-10-01,36.04,36.41,35.32,35.91,21886600,35.91
2013-09-30,35.71,36.31,35.62,35.97,17724400,35.97
2013-09-27,36.77,36.90,36.16,36.37,14173500,36.37
2013-09-26,37.19,37.35,36.76,36.95,14022900,36.95
